id,x,y,z,scalar,critical_type,type_name
96,10.0,8.0,6.0,0.4068799547901978,2,2-saddle
97,11.0,8.0,6.0,0.4067531904479877,1,1-saddle
98,9.0,9.0,6.0,0.40689874136402404,2,2-saddle
99,10.0,9.0,6.0,0.40670400408140783,1,1-saddle
100,8.0,10.0,6.0,0.40687995467071225,2,2-saddle
101,9.0,10.0,6.0,0.4067040040222874,1,1-saddle
102,8.0,11.0,6.0,0.40675319028369505,1,1-saddle
103,6.0,12.0,6.0,0.4067407186108675,1,1-saddle
104,7.0,12.0,6.0,0.4068453624087643,2,2-saddle
105,5.0,13.0,6.0,0.40663355387693867,1,1-saddle
106,6.0,13.0,6.0,0.40696948268508176,2,2-saddle
107,68.0,68.0,8.0,0.5685189976597095,1,1-saddle
108,15.0,12.0,15.0,0.4125165398591258,1,1-saddle
109,13.0,13.0,15.0,0.41253386813171306,2,2-saddle
110,13.0,13.0,16.0,0.41248538949796765,1,1-saddle
111,14.0,13.0,16.0,0.4125208336918962,4,Multi-saddle
112,12.0,14.0,16.0,0.4125054331195361,1,1-saddle
113,13.0,14.0,16.0,0.4125208336918962,2,2-saddle
114,55.0,55.0,19.0,0.4582312057932774,2,2-saddle
115,13.0,5.0,22.0,0.4066235326984322,1,1-saddle
116,12.0,6.0,22.0,0.40663375207359687,1,1-saddle
117,13.0,6.0,22.0,0.406678786255038,2,2-saddle
118,11.0,7.0,22.0,0.4066416341122361,1,1-saddle
119,12.0,7.0,22.0,0.4066656553903813,2,2-saddle
120,10.0,8.0,22.0,0.4066465975619501,1,1-saddle
121,11.0,8.0,22.0,0.4066563771755219,2,2-saddle
122,9.0,9.0,22.0,0.406648289512206,1,1-saddle
123,10.0,9.0,22.0,0.406651583186191,2,2-saddle
124,8.0,10.0,22.0,0.4066465975868429,1,1-saddle
125,9.0,10.0,22.0,0.4066515832110838,2,2-saddle
126,7.0,11.0,22.0,0.4066416341520646,1,1-saddle
127,8.0,11.0,22.0,0.4066563772277968,2,2-saddle
128,6.0,12.0,22.0,0.406633752083554,1,1-saddle
129,7.0,12.0,22.0,0.40666565543518834,2,2-saddle
130,6.0,13.0,22.0,0.4066787862537934,2,2-saddle
131,21.0,21.0,22.0,0.4101056658715272,1,1-saddle
132,53.0,31.0,22.0,0.406636845614262,1,1-saddle
133,52.0,32.0,22.0,0.4066515731842546,1,1-saddle
134,53.0,32.0,22.0,0.40673020550536787,2,2-saddle
135,51.0,33.0,22.0,0.40666564537350924,1,1-saddle
136,52.0,33.0,22.0,0.40671397609036536,2,2-saddle
137,50.0,34.0,22.0,0.40667874507608526,1,1-saddle
138,51.0,34.0,22.0,0.406698025595946,2,2-saddle
139,49.0,35.0,22.0,0.40669054799201626,2,2-saddle
140,48.0,36.0,22.0,0.4067007763566017,2,2-saddle
141,49.0,36.0,22.0,0.4066685675519796,1,1-saddle
142,47.0,37.0,22.0,0.4067092989367447,2,2-saddle
143,48.0,37.0,22.0,0.4066557924630196,1,1-saddle
144,46.0,38.0,22.0,0.40671611586251033,2,2-saddle
145,47.0,38.0,22.0,0.40664468994027414,1,1-saddle
146,45.0,39.0,22.0,0.4067212659499,2,2-saddle
147,46.0,39.0,22.0,0.4066354891893912,1,1-saddle
148,44.0,40.0,22.0,0.4067248009896771,2,2-saddle
149,45.0,40.0,22.0,0.4066284024565383,1,1-saddle
150,43.0,41.0,22.0,0.4067268257893396,2,2-saddle
151,44.0,41.0,22.0,0.40662359515950414,1,1-saddle
152,42.0,42.0,22.0,0.40672747838705997,2,2-saddle
153,43.0,42.0,22.0,0.40662116861207903,1,1-saddle
154,41.0,43.0,22.0,0.4067268257918289,2,2-saddle
155,42.0,43.0,22.0,0.40662116861207903,1,1-saddle
156,40.0,44.0,22.0,0.40672480098220926,2,2-saddle
157,41.0,44.0,22.0,0.4066235951644827,1,1-saddle
158,39.0,45.0,22.0,0.4067212659474107,2,2-saddle
159,40.0,45.0,22.0,0.406628402471474,1,1-saddle
160,38.0,46.0,22.0,0.406716115894871,2,2-saddle
161,39.0,46.0,22.0,0.40663548922921966,1,1-saddle
162,37.0,47.0,22.0,0.4067092990313374,2,2-saddle
163,38.0,47.0,22.0,0.40664469001993114,1,1-saddle
164,36.0,48.0,22.0,0.40670077650315817,2,2-saddle
165,37.0,48.0,22.0,0.40665579259246226,1,1-saddle
166,35.0,49.0,22.0,0.4066905481587982,2,2-saddle
167,36.0,49.0,22.0,0.40666856772622934,1,1-saddle
168,34.0,50.0,22.0,0.4066787452316654,1,1-saddle
169,33.0,51.0,22.0,0.4066656455054412,1,1-saddle
170,34.0,51.0,22.0,0.4066980257754077,2,2-saddle
171,32.0,52.0,22.0,0.4066515733087187,1,1-saddle
172,33.0,52.0,22.0,0.4067139762310098,2,2-saddle
173,32.0,53.0,22.0,0.40673020562983203,2,2-saddle
174,18.0,0.0,23.0,0.4066399963038706,1,1-saddle
175,19.0,0.0,23.0,0.4067073343565554,2,2-saddle
176,17.0,1.0,23.0,0.4066491898607277,1,1-saddle
177,18.0,1.0,23.0,0.40669318499799306,2,2-saddle
178,16.0,2.0,23.0,0.40665972469517264,1,1-saddle
179,17.0,2.0,23.0,0.40667732898187264,2,2-saddle
180,15.0,3.0,23.0,0.4066709546741514,2,2-saddle
181,14.0,4.0,23.0,0.40668216051455947,2,2-saddle
182,15.0,4.0,23.0,0.40664363480817795,1,1-saddle
183,13.0,5.0,23.0,0.406692621394916,2,2-saddle
184,14.0,5.0,23.0,0.406627636424712,1,1-saddle
185,4.0,14.0,23.0,0.40668216037515964,2,2-saddle
186,5.0,14.0,23.0,0.40662763633509785,1,1-saddle
187,3.0,15.0,23.0,0.4066709544675409,2,2-saddle
188,4.0,15.0,23.0,0.40664363465882103,1,1-saddle
189,2.0,16.0,23.0,0.4066597244611801,1,1-saddle
190,68.0,16.0,23.0,0.4066597244611801,1,1-saddle
191,1.0,17.0,23.0,0.406649189616778,1,1-saddle
192,2.0,17.0,23.0,0.4066773287727729,2,2-saddle
193,67.0,17.0,23.0,0.406649189616778,1,1-saddle
194,68.0,17.0,23.0,0.4066773287727729,2,2-saddle
195,1.0,18.0,23.0,0.40669318473350685,2,2-saddle
196,67.0,18.0,23.0,0.40669318473350685,2,2-saddle
197,59.0,25.0,23.0,0.4066449214136583,1,1-saddle
198,58.0,26.0,23.0,0.406656640743223,1,1-saddle
199,59.0,26.0,23.0,0.4067237015832056,2,2-saddle
200,57.0,27.0,23.0,0.4066706768652661,1,1-saddle
201,58.0,27.0,23.0,0.4067133321677939,2,2-saddle
202,57.0,28.0,23.0,0.40670035608608934,2,2-saddle
203,55.0,29.0,23.0,0.4067044859971298,2,2-saddle
204,56.0,29.0,23.0,0.4066850837360391,1,1-saddle
205,54.0,30.0,23.0,0.4067235795560971,2,2-saddle
206,55.0,30.0,23.0,0.4066678606007798,1,1-saddle
207,53.0,31.0,23.0,0.40674351422924626,2,2-saddle
208,54.0,31.0,23.0,0.4066491355246732,1,1-saddle
209,30.0,54.0,23.0,0.406723579740304,2,2-saddle
210,31.0,54.0,23.0,0.40664913567900873,1,1-saddle
211,29.0,55.0,23.0,0.4067044862248992,2,2-saddle
212,30.0,55.0,23.0,0.4066678608223259,1,1-saddle
213,29.0,56.0,23.0,0.4066850840198173,1,1-saddle
214,27.0,57.0,23.0,0.40667067714904426,1,1-saddle
215,28.0,57.0,23.0,0.40670035639724966,2,2-saddle
216,26.0,58.0,23.0,0.40665664102700116,1,1-saddle
217,27.0,58.0,23.0,0.40671333247273095,2,2-saddle
218,26.0,59.0,23.0,0.40672370186200524,2,2-saddle
219,18.0,66.0,23.0,0.4066399963038706,1,1-saddle
220,19.0,66.0,23.0,0.4067073343565554,2,2-saddle
221,17.0,67.0,23.0,0.4066491898607277,1,1-saddle
222,18.0,67.0,23.0,0.40669318499799306,2,2-saddle
223,17.0,68.0,23.0,0.40667732898187264,2,2-saddle
224,0.0,19.0,24.0,0.4066406294030426,1,1-saddle
225,65.0,19.0,24.0,0.4067019317112491,2,2-saddle
226,66.0,19.0,24.0,0.4066406294030426,1,1-saddle
227,64.0,20.0,24.0,0.40669864066065653,2,2-saddle
228,65.0,20.0,24.0,0.4066504629095765,1,1-saddle
229,63.0,21.0,24.0,0.40669802975273633,2,2-saddle
230,64.0,21.0,24.0,0.4066576057234707,1,1-saddle
231,62.0,22.0,24.0,0.4067003325306331,2,2-saddle
232,63.0,22.0,24.0,0.4066616693872409,1,1-saddle
233,61.0,23.0,24.0,0.4067056574309852,2,2-saddle
234,62.0,23.0,24.0,0.4066624433598778,1,1-saddle
235,60.0,24.0,24.0,0.40671405421151235,2,2-saddle
236,61.0,24.0,24.0,0.40665985027448703,1,1-saddle
237,59.0,25.0,24.0,0.4067255325549004,2,2-saddle
238,60.0,25.0,24.0,0.4066538636426154,1,1-saddle
239,24.0,60.0,24.0,0.4067140544492388,2,2-saddle
240,25.0,60.0,24.0,0.4066538639164365,1,1-saddle
241,23.0,61.0,24.0,0.4067056576419519,2,2-saddle
242,24.0,61.0,24.0,0.4066598505134581,1,1-saddle
243,22.0,62.0,24.0,0.40670033275280154,2,2-saddle
244,23.0,62.0,24.0,0.4066624435988489,1,1-saddle
245,21.0,63.0,24.0,0.40669803001613347,2,2-saddle
246,22.0,63.0,24.0,0.40666166967350836,1,1-saddle
247,20.0,64.0,24.0,0.40669864094801306,2,2-saddle
248,21.0,64.0,24.0,0.4066576060645024,1,1-saddle
249,19.0,65.0,24.0,0.40670193198226967,2,2-saddle
250,20.0,65.0,24.0,0.4066504632630546,1,1-saddle
251,19.0,66.0,24.0,0.4066406297166921,1,1-saddle
252,51.0,51.0,25.0,0.5007622094835317,3,Maximum
253,44.0,21.0,30.0,0.41630758571412957,2,2-saddle
254,21.0,44.0,30.0,0.41630758571412957,2,2-saddle
255,51.0,51.0,34.0,0.2704738613178631,0,Minimum
256,45.0,0.0,40.0,0.3831717028809041,1,1-saddle
257,45.0,0.0,41.0,0.3831717028809041,2,2-saddle
258,46.0,0.0,41.0,0.3831717028809041,1,1-saddle
259,68.0,45.0,42.0,0.3691458503421281,1,1-saddle
260,45.0,68.0,42.0,0.3691458503421281,1,1-saddle
261,13.0,5.0,45.0,0.4067232181670687,2,2-saddle
262,12.0,6.0,45.0,0.40671695240823685,2,2-saddle
263,13.0,6.0,45.0,0.40668979586469867,1,1-saddle
264,11.0,7.0,45.0,0.40671250830620537,2,2-saddle
265,12.0,7.0,45.0,0.4066946793739114,1,1-saddle
266,10.0,8.0,45.0,0.4067098585373669,2,2-saddle
267,11.0,8.0,45.0,0.4066979033429351,1,1-saddle
268,9.0,9.0,45.0,0.40670897907392395,2,2-saddle
269,10.0,9.0,45.0,0.40669950046903747,1,1-saddle
270,8.0,10.0,45.0,0.4067098584763795,2,2-saddle
271,9.0,10.0,45.0,0.4066995004414998,1,1-saddle
272,7.0,11.0,45.0,0.4067125081892091,2,2-saddle
273,8.0,11.0,45.0,0.40669790326600075,1,1-saddle
274,6.0,12.0,45.0,0.40671695225639065,2,2-saddle
275,7.0,12.0,45.0,0.4066946792601823,1,1-saddle
276,6.0,13.0,45.0,0.4066897957246765,1,1-saddle
277,16.0,2.0,46.0,0.4067194865163063,2,2-saddle
278,17.0,2.0,46.0,0.406687709620836,1,1-saddle
279,16.0,3.0,46.0,0.40669956111868977,1,1-saddle
280,14.0,4.0,46.0,0.4066976242681331,1,1-saddle
281,15.0,4.0,46.0,0.4067095713040588,2,2-saddle
282,13.0,5.0,46.0,0.40668953971505883,1,1-saddle
283,14.0,5.0,46.0,0.40671781954350916,2,2-saddle
284,4.0,14.0,46.0,0.4066976240853653,1,1-saddle
285,5.0,14.0,46.0,0.40671781937672724,2,2-saddle
286,4.0,15.0,46.0,0.4067095711111394,2,2-saddle
287,2.0,16.0,46.0,0.40671948627982446,2,2-saddle
288,3.0,16.0,46.0,0.4066995608993218,1,1-saddle
289,68.0,16.0,46.0,0.40671948627982446,2,2-saddle
290,17.0,68.0,46.0,0.406687709620836,1,1-saddle
291,18.0,0.0,47.0,0.4067130875709133,2,2-saddle
292,19.0,0.0,47.0,0.40669524254074174,1,1-saddle
293,17.0,1.0,47.0,0.4066973779232318,1,1-saddle
294,17.0,2.0,47.0,0.40672427281126555,2,2-saddle
295,1.0,17.0,47.0,0.4066973776555367,1,1-saddle
296,67.0,17.0,47.0,0.4066973776555367,1,1-saddle
297,0.0,18.0,47.0,0.40671308730704936,2,2-saddle
298,66.0,18.0,47.0,0.40671308730704936,2,2-saddle
299,66.0,19.0,47.0,0.4066952423310197,1,1-saddle
300,19.0,65.0,47.0,0.4067308455994232,2,2-saddle
301,18.0,66.0,47.0,0.4067130875709133,2,2-saddle
302,19.0,66.0,47.0,0.40669524254074174,1,1-saddle
303,17.0,67.0,47.0,0.4066973779232318,1,1-saddle
304,17.0,68.0,47.0,0.40672427281126555,2,2-saddle
305,65.0,20.0,48.0,0.4067168575790269,2,2-saddle
306,64.0,21.0,48.0,0.4066977111002513,1,1-saddle
307,0.0,49.0,48.0,0.3831717028809041,1,1-saddle
308,21.0,63.0,48.0,0.40673352332041274,2,2-saddle
309,21.0,64.0,48.0,0.40669771128550836,1,1-saddle
310,19.0,65.0,48.0,0.40669244815082384,1,1-saddle
311,20.0,65.0,48.0,0.4067168577594999,2,2-saddle
312,63.0,22.0,49.0,0.4067182628423722,2,2-saddle
313,23.0,62.0,49.0,0.40669541142127763,1,1-saddle
314,21.0,63.0,49.0,0.4066924205039209,1,1-saddle
315,22.0,63.0,49.0,0.4067182630440041,2,2-saddle
316,61.0,23.0,50.0,0.4066968234271163,1,1-saddle
317,60.0,24.0,50.0,0.4067235726309137,2,2-saddle
318,24.0,60.0,50.0,0.40672357285992766,2,2-saddle
319,25.0,60.0,50.0,0.40668880855807776,1,1-saddle
320,23.0,61.0,50.0,0.40669682362843707,1,1-saddle
321,23.0,62.0,50.0,0.40673966778025117,2,2-saddle
322,59.0,25.0,51.0,0.40670508199292654,1,1-saddle
323,26.0,58.0,51.0,0.4067353414250073,2,2-saddle
324,25.0,59.0,51.0,0.40670508231528857,1,1-saddle
325,25.0,60.0,51.0,0.4067365747424211,2,2-saddle
326,58.0,27.0,52.0,0.4067299518126497,2,2-saddle
327,57.0,28.0,52.0,0.40669805779139,1,1-saddle
328,34.0,34.0,52.0,0.49756897437589465,3,Maximum
329,28.0,56.0,52.0,0.406750256540019,2,2-saddle
330,28.0,57.0,52.0,0.40669805817458393,1,1-saddle
331,26.0,58.0,52.0,0.4066853350104195,1,1-saddle
332,27.0,58.0,52.0,0.40672995220097774,2,2-saddle
333,55.0,29.0,53.0,0.4067309501791519,2,2-saddle
334,29.0,55.0,53.0,0.40673095058241565,2,2-saddle
335,30.0,55.0,53.0,0.40668397729983435,1,1-saddle
336,28.0,56.0,53.0,0.40669640607579316,1,1-saddle
337,30.0,31.0,54.0,0.38463710936802203,1,1-saddle
338,54.0,31.0,54.0,0.40670721919426517,1,1-saddle
339,31.0,53.0,54.0,0.4067470744705175,2,2-saddle
340,31.0,54.0,54.0,0.40670721959317263,1,1-saddle
341,30.0,55.0,54.0,0.40674448321226,2,2-saddle
342,31.0,31.0,55.0,0.3856792719050369,2,2-saddle
343,31.0,32.0,55.0,0.3835636792146947,1,1-saddle
344,53.0,32.0,55.0,0.40673340895282595,2,2-saddle
345,33.0,52.0,55.0,0.40669206778132894,1,1-saddle
346,31.0,53.0,55.0,0.4066862057302583,1,1-saddle
347,32.0,53.0,55.0,0.4067334094133432,2,2-saddle
348,32.0,32.0,56.0,0.3927516911456004,2,2-saddle
349,33.0,32.0,56.0,0.391686769638036,1,1-saddle
350,34.0,33.0,56.0,0.40403112081285925,2,2-saddle
351,51.0,33.0,56.0,0.4066978438292512,1,1-saddle
352,50.0,34.0,56.0,0.4067365186663583,2,2-saddle
353,34.0,50.0,56.0,0.40673651915176834,2,2-saddle
354,35.0,50.0,56.0,0.4066768878872691,1,1-saddle
355,33.0,51.0,56.0,0.4066978443293636,1,1-saddle
356,33.0,52.0,56.0,0.4067626109925422,2,2-saddle
357,38.0,29.0,57.0,0.33165156984463345,0,Minimum
358,34.0,33.0,57.0,0.4024691209315826,1,1-saddle
359,34.0,34.0,57.0,0.4039025495802714,2,2-saddle
360,34.0,35.0,57.0,0.4029881129553976,1,1-saddle
361,49.0,35.0,57.0,0.40670628041433615,1,1-saddle
362,48.0,36.0,57.0,0.4067430540804312,2,2-saddle
363,29.0,38.0,57.0,0.33165156474658325,0,Minimum
364,36.0,48.0,57.0,0.4067430544737378,2,2-saddle
365,35.0,49.0,57.0,0.4067062808306686,1,1-saddle
366,35.0,50.0,57.0,0.40675379237138787,2,2-saddle
367,34.0,35.0,58.0,0.40373703086620605,2,2-saddle
368,35.0,36.0,58.0,0.395381503766154,1,1-saddle
369,36.0,36.0,58.0,0.39732372324023263,2,2-saddle
370,47.0,37.0,58.0,0.40670551257778015,1,1-saddle
371,46.0,38.0,58.0,0.40673583314787926,2,2-saddle
372,38.0,46.0,58.0,0.40673583347148595,2,2-saddle
373,39.0,46.0,58.0,0.406675589279714,1,1-saddle
374,37.0,47.0,58.0,0.40670551295366175,1,1-saddle
375,36.0,48.0,58.0,0.40667230414645666,1,1-saddle
376,37.0,48.0,58.0,0.4067501177077656,2,2-saddle
377,36.0,37.0,59.0,0.39260963270261345,1,1-saddle
378,37.0,37.0,59.0,0.3953539972363674,2,2-saddle
379,45.0,39.0,59.0,0.4066878897465492,1,1-saddle
380,44.0,40.0,59.0,0.406706595505825,1,1-saddle
381,45.0,40.0,59.0,0.4067325574987876,2,2-saddle
382,43.0,41.0,59.0,0.40671840160492573,2,2-saddle
383,42.0,42.0,59.0,0.4067224406447152,2,2-saddle
384,43.0,42.0,59.0,0.4067020053358187,1,1-saddle
385,41.0,43.0,59.0,0.406718401704497,2,2-saddle
386,42.0,43.0,59.0,0.40670200537907,1,1-saddle
387,40.0,44.0,59.0,0.4067065957012337,1,1-saddle
388,39.0,45.0,59.0,0.40668789002659345,1,1-saddle
389,40.0,45.0,59.0,0.4067325577029087,2,2-saddle
390,39.0,46.0,59.0,0.40676015106881974,2,2-saddle
391,68.0,68.0,59.0,0.3938710712997801,2,2-saddle
392,37.0,37.0,60.0,0.39476702303193034,1,1-saddle
393,33.0,33.0,61.0,0.506059093824434,3,Maximum
394,28.0,28.0,69.0,0.43931946607263916,2,2-saddle
395,10.0,0.0,71.0,0.40658644446795383,1,1-saddle
396,43.0,41.0,74.0,0.4066562460027901,1,1-saddle
397,42.0,42.0,74.0,0.40665859495928536,1,1-saddle
398,43.0,42.0,74.0,0.40667599329770204,2,2-saddle
399,42.0,43.0,74.0,0.4066759933474877,2,2-saddle
400,33.0,0.0,75.0,0.4264526922048529,2,2-saddle
401,0.0,33.0,75.0,0.4264526922048529,2,2-saddle
402,45.0,39.0,75.0,0.40666256683574864,1,1-saddle
403,46.0,39.0,75.0,0.4066834849596203,2,2-saddle
404,44.0,40.0,75.0,0.4066731026385244,2,2-saddle
405,43.0,41.0,75.0,0.4066795708581551,2,2-saddle
406,44.0,41.0,75.0,0.4066596270929022,1,1-saddle
407,40.0,44.0,75.0,0.4066731027356064,2,2-saddle
408,41.0,44.0,75.0,0.4066596271974521,1,1-saddle
409,39.0,45.0,75.0,0.40666256694278774,1,1-saddle
410,47.0,38.0,76.0,0.40667881929030364,2,2-saddle
411,46.0,39.0,76.0,0.40666250508910073,1,1-saddle
412,48.0,36.0,77.0,0.40666116112557715,1,1-saddle
413,47.0,37.0,77.0,0.40667852321257547,2,2-saddle
414,47.0,38.0,77.0,0.40665874071423297,1,1-saddle
415,37.0,47.0,77.0,0.40667852327356285,2,2-saddle
416,49.0,35.0,78.0,0.40666659705103225,1,1-saddle
417,48.0,36.0,78.0,0.4066842057101566,2,2-saddle
418,51.0,34.0,79.0,0.4066881335729969,2,2-saddle
419,49.0,35.0,79.0,0.40669011011418776,2,2-saddle
420,50.0,35.0,79.0,0.4066703819400756,1,1-saddle
421,35.0,50.0,79.0,0.4066703820520933,1,1-saddle
422,50.0,0.0,80.0,0.41828082873536787,1,1-saddle
423,52.0,32.0,80.0,0.4066652490623392,1,1-saddle
424,51.0,33.0,80.0,0.40668186983235066,2,2-saddle
425,51.0,34.0,80.0,0.40666461926893416,1,1-saddle
426,0.0,50.0,80.0,0.41828082873536787,1,1-saddle
427,33.0,51.0,80.0,0.40668186996179334,2,2-saddle
428,18.0,19.0,81.0,0.5437494070967632,3,Maximum
429,54.0,30.0,81.0,0.4066652499261202,1,1-saddle
430,55.0,30.0,81.0,0.4066947527724231,2,2-saddle
431,54.0,31.0,81.0,0.40668164096151116,2,2-saddle
432,52.0,32.0,81.0,0.4066941083673976,2,2-saddle
433,53.0,32.0,81.0,0.40666851157050954,1,1-saddle
434,32.0,53.0,81.0,0.4066685116576344,1,1-saddle
435,30.0,54.0,81.0,0.4066652500057772,1,1-saddle
436,31.0,54.0,81.0,0.40668164102249854,2,2-saddle
437,10.0,9.0,82.0,0.4067257630798681,2,2-saddle
438,59.0,25.0,82.0,0.4066454454822648,1,1-saddle
439,60.0,25.0,82.0,0.40670086750727463,2,2-saddle
440,58.0,26.0,82.0,0.40665612471250917,1,1-saddle
441,59.0,26.0,82.0,0.4066940287953102,2,2-saddle
442,57.0,27.0,82.0,0.4066669749589381,1,1-saddle
443,58.0,27.0,82.0,0.4066865580682562,2,2-saddle
444,57.0,28.0,82.0,0.406678514289743,2,2-saddle
445,55.0,29.0,82.0,0.40668891258394124,2,2-saddle
446,56.0,29.0,82.0,0.4066699523671153,1,1-saddle
447,55.0,30.0,82.0,0.40666093997524677,1,1-saddle
448,29.0,55.0,82.0,0.4066889126604867,2,2-saddle
449,29.0,56.0,82.0,0.4066699524467723,1,1-saddle
450,27.0,57.0,82.0,0.40666697505353083,1,1-saddle
451,28.0,57.0,82.0,0.40667851440176067,2,2-saddle
