critical_type,cell_dimension,scalar_value,x,y,z
1-saddle,1,0.3835636792146947,31.5,31.5,55.0
1-saddle,1,0.391686769638036,32.5,32.5,56.0
1-saddle,1,0.4024691209315826,33.5,33.5,57.0
1-saddle,1,0.4029881129553976,34.5,34.5,57.0
1-saddle,1,0.395381503766154,35.5,35.5,58.0
1-saddle,1,0.39260963270261345,36.5,36.5,59.0
1-saddle,1,0.39476702303193034,36.5,37.5,60.0
1-saddle,1,0.37138150338889825,19.5,31.5,105.0
1-saddle,1,0.23122543096673143,64.5,64.5,109.0
1-saddle,1,0.275664604253862,65.5,65.5,111.0
1-saddle,1,0.3815048698818533,67.5,0.5,113.0
1-saddle,1,0.3815048698818533,0.5,1.5,113.0
1-saddle,1,0.3815048698818533,0.5,67.5,113.0
1-saddle,1,0.3815048698818533,66.5,67.5,113.0
1-saddle,1,0.3571185991634793,1.5,1.5,114.0
1-saddle,1,0.3815048698818533,1.0,0.5,0.5
1-saddle,1,0.3815048698818533,67.0,0.5,0.5
1-saddle,1,0.3815048698818533,1.0,66.5,0.5
1-saddle,1,0.3815048698818533,67.0,66.5,0.5
1-saddle,1,0.3815048698818533,1.0,1.5,1.5
1-saddle,1,0.3815048698818533,67.0,1.5,1.5
1-saddle,1,0.3815048698818533,1.0,67.5,1.5
1-saddle,1,0.3815048698818533,67.0,67.5,1.5
1-saddle,1,0.30813417766288903,3.0,2.5,3.5
1-saddle,1,0.29931090063459714,3.0,3.5,4.5
1-saddle,1,0.4066685675519796,49.0,35.5,21.5
1-saddle,1,0.4066557924630196,48.0,36.5,21.5
1-saddle,1,0.40664468994027414,47.0,37.5,21.5
1-saddle,1,0.4066354891893912,46.0,38.5,21.5
1-saddle,1,0.4066284024565383,45.0,39.5,21.5
1-saddle,1,0.40662359515950414,44.0,40.5,21.5
1-saddle,1,0.40662116861207903,43.0,41.5,21.5
1-saddle,1,0.40662116861207903,42.0,42.5,21.5
1-saddle,1,0.4066235951644827,41.0,43.5,21.5
1-saddle,1,0.406628402471474,40.0,44.5,21.5
1-saddle,1,0.40663548922921966,39.0,45.5,21.5
1-saddle,1,0.40664469001993114,38.0,46.5,21.5
1-saddle,1,0.40665579259246226,37.0,47.5,21.5
1-saddle,1,0.40666856772622934,36.0,48.5,21.5
1-saddle,1,0.40664363480817795,15.0,3.5,22.5
1-saddle,1,0.406627636424712,14.0,4.5,22.5
1-saddle,1,0.4066235326984322,13.0,5.5,22.5
1-saddle,1,0.40663375207359687,12.0,6.5,22.5
1-saddle,1,0.4066416341122361,11.0,7.5,22.5
1-saddle,1,0.4066465975619501,10.0,8.5,22.5
1-saddle,1,0.406648289512206,9.0,9.5,22.5
1-saddle,1,0.4066465975868429,8.0,10.5,22.5
1-saddle,1,0.4066416341520646,7.0,11.5,22.5
1-saddle,1,0.406633752083554,6.0,12.5,22.5
1-saddle,1,0.40662763633509785,5.0,13.5,22.5
1-saddle,1,0.40664363465882103,4.0,14.5,22.5
1-saddle,1,0.4066850837360391,56.0,28.5,22.5
1-saddle,1,0.4066678606007798,55.0,29.5,22.5
1-saddle,1,0.4066491355246732,54.0,30.5,22.5
1-saddle,1,0.406636845614262,53.0,31.5,22.5
1-saddle,1,0.4066515731842546,52.0,32.5,22.5
1-saddle,1,0.40666564537350924,51.0,33.5,22.5
1-saddle,1,0.40667874507608526,50.0,34.5,22.5
1-saddle,1,0.4066787452316654,34.0,50.5,22.5
1-saddle,1,0.4066656455054412,33.0,51.5,22.5
1-saddle,1,0.4066515733087187,32.0,52.5,22.5
1-saddle,1,0.40664913567900873,31.0,53.5,22.5
1-saddle,1,0.4066678608223259,30.0,54.5,22.5
1-saddle,1,0.4066850840198173,29.0,55.5,22.5
1-saddle,1,0.4066399963038706,18.0,0.5,23.5
1-saddle,1,0.4066491898607277,17.0,1.5,23.5
1-saddle,1,0.40665972469517264,16.0,2.5,23.5
1-saddle,1,0.4066597244611801,2.0,16.5,23.5
1-saddle,1,0.4066597244611801,68.0,16.5,23.5
1-saddle,1,0.406649189616778,1.0,17.5,23.5
1-saddle,1,0.406649189616778,67.0,17.5,23.5
1-saddle,1,0.4066406294030426,0.0,18.5,23.5
1-saddle,1,0.4066406294030426,66.0,18.5,23.5
1-saddle,1,0.4066504629095765,65.0,19.5,23.5
1-saddle,1,0.4066576057234707,64.0,20.5,23.5
1-saddle,1,0.4066616693872409,63.0,21.5,23.5
1-saddle,1,0.4066624433598778,62.0,22.5,23.5
1-saddle,1,0.40665985027448703,61.0,23.5,23.5
1-saddle,1,0.4066538636426154,60.0,24.5,23.5
1-saddle,1,0.4066449214136583,59.0,25.5,23.5
1-saddle,1,0.406656640743223,58.0,26.5,23.5
1-saddle,1,0.4066706768652661,57.0,27.5,23.5
1-saddle,1,0.40667067714904426,27.0,57.5,23.5
1-saddle,1,0.40665664102700116,26.0,58.5,23.5
1-saddle,1,0.4066538639164365,25.0,59.5,23.5
1-saddle,1,0.4066598505134581,24.0,60.5,23.5
1-saddle,1,0.4066624435988489,23.0,61.5,23.5
1-saddle,1,0.40666166967350836,22.0,62.5,23.5
1-saddle,1,0.4066576060645024,21.0,63.5,23.5
1-saddle,1,0.4066504632630546,20.0,64.5,23.5
1-saddle,1,0.4066406297166921,19.0,65.5,23.5
1-saddle,1,0.4066399963038706,18.0,66.5,23.5
1-saddle,1,0.4066491898607277,17.0,67.5,23.5
1-saddle,1,0.4066596270929022,44.0,40.5,74.5
1-saddle,1,0.4066562460027901,43.0,41.5,74.5
1-saddle,1,0.40665859495928536,42.0,42.5,74.5
1-saddle,1,0.4066596271974521,41.0,43.5,74.5
1-saddle,1,0.40666250508910073,46.0,38.5,75.5
1-saddle,1,0.40666256683574864,45.0,39.5,75.5
1-saddle,1,0.40666256694278774,39.0,45.5,75.5
1-saddle,1,0.40665874071423297,47.0,37.5,76.5
1-saddle,1,0.40666116112557715,48.0,36.5,77.5
1-saddle,1,0.4066703819400756,50.0,34.5,78.5
1-saddle,1,0.40666659705103225,49.0,35.5,78.5
1-saddle,1,0.4066703820520933,35.0,49.5,78.5
1-saddle,1,0.40666461926893416,51.0,33.5,79.5
1-saddle,1,0.40666851157050954,53.0,31.5,80.5
1-saddle,1,0.4066652490623392,52.0,32.5,80.5
1-saddle,1,0.4066685116576344,32.0,52.5,80.5
1-saddle,1,0.4066699523671153,56.0,28.5,81.5
1-saddle,1,0.40666093997524677,55.0,29.5,81.5
1-saddle,1,0.4066652499261202,54.0,30.5,81.5
1-saddle,1,0.4066652500057772,30.0,54.5,81.5
1-saddle,1,0.4066699524467723,29.0,55.5,81.5
1-saddle,1,0.40662717846148677,18.0,0.5,82.5
1-saddle,1,0.4066211027606046,17.0,1.5,82.5
1-saddle,1,0.40661459927655597,16.0,2.5,82.5
1-saddle,1,0.40660802145755875,15.0,3.5,82.5
1-saddle,1,0.40660173701541846,14.0,4.5,82.5
1-saddle,1,0.4065961028036911,13.0,5.5,82.5
1-saddle,1,0.406591469552298,12.0,6.5,82.5
1-saddle,1,0.40658816506984924,11.0,7.5,82.5
1-saddle,1,0.40658644450778236,9.0,9.5,82.5
1-saddle,1,0.4065881651793776,8.0,10.5,82.5
1-saddle,1,0.4065914697215692,7.0,11.5,82.5
1-saddle,1,0.40659610300283366,6.0,12.5,82.5
1-saddle,1,0.4066017371946468,5.0,13.5,82.5
1-saddle,1,0.4066080216069157,4.0,14.5,82.5
1-saddle,1,0.4066145994109772,3.0,15.5,82.5
1-saddle,1,0.40662110290000436,2.0,16.5,82.5
1-saddle,1,0.40662110290000436,68.0,16.5,82.5
1-saddle,1,0.4066271785710152,1.0,17.5,82.5
1-saddle,1,0.4066271785710152,67.0,17.5,82.5
1-saddle,1,0.4066325495560732,0.0,18.5,82.5
1-saddle,1,0.4066325495560732,66.0,18.5,82.5
1-saddle,1,0.40663705758162993,65.0,19.5,82.5
1-saddle,1,0.4066406394796574,64.0,20.5,82.5
1-saddle,1,0.406643264173955,63.0,21.5,82.5
1-saddle,1,0.4066448914974634,62.0,22.5,82.5
1-saddle,1,0.40664548106904475,61.0,23.5,82.5
1-saddle,1,0.40664502602823704,60.0,24.5,82.5
1-saddle,1,0.4066454454822648,59.0,25.5,82.5
1-saddle,1,0.40665612471250917,58.0,26.5,82.5
1-saddle,1,0.4066669749589381,57.0,27.5,82.5
1-saddle,1,0.40666697505353083,27.0,57.5,82.5
1-saddle,1,0.4066561247647841,26.0,58.5,82.5
1-saddle,1,0.40664544551213616,25.0,59.5,82.5
1-saddle,1,0.4066454811088733,24.0,60.5,82.5
1-saddle,1,0.406644891502442,23.0,61.5,82.5
1-saddle,1,0.40664326413910507,22.0,62.5,82.5
1-saddle,1,0.4066406394298717,21.0,63.5,82.5
1-saddle,1,0.4066370575318443,20.0,64.5,82.5
1-saddle,1,0.4066325494813947,19.0,65.5,82.5
1-saddle,1,0.40662717846148677,18.0,66.5,82.5
1-saddle,1,0.4066211027606046,17.0,67.5,82.5
1-saddle,1,0.371333612305437,18.0,31.5,103.5
1-saddle,1,0.37127463551184303,19.0,31.5,104.5
1-saddle,1,0.3815048698818533,1.0,0.5,112.5
1-saddle,1,0.3815048698818533,67.0,0.5,112.5
1-saddle,1,0.3815048698818533,1.0,66.5,112.5
1-saddle,1,0.3815048698818533,67.0,66.5,112.5
1-saddle,1,0.3815048698818533,1.0,1.5,113.5
1-saddle,1,0.3815048698818533,67.0,1.5,113.5
1-saddle,1,0.3815048698818533,1.0,67.5,113.5
1-saddle,1,0.3815048698818533,67.0,67.5,113.5
1-saddle,1,0.40669436254863744,65.5,20.0,0.5
1-saddle,1,0.406660379717454,63.5,21.0,0.5
1-saddle,1,0.40674381514862856,65.5,19.0,1.5
1-saddle,1,0.406749965348752,18.5,0.0,2.5
1-saddle,1,0.4066919097669771,0.5,18.0,2.5
1-saddle,1,0.4066919097669771,66.5,18.0,2.5
1-saddle,1,0.4066261037536745,1.5,17.0,3.5
1-saddle,1,0.40677645914389887,16.5,68.0,3.5
1-saddle,1,0.40674867594033975,15.5,3.0,4.5
1-saddle,1,0.4066604245245357,3.5,15.0,4.5
1-saddle,1,0.4067486753827405,2.5,16.0,4.5
1-saddle,1,0.4067301540792845,13.5,5.0,5.5
1-saddle,1,0.40674071890460284,12.5,6.0,5.5
1-saddle,1,0.4067407186108675,6.5,12.0,5.5
1-saddle,1,0.40663355387693867,5.5,13.0,5.5
1-saddle,1,0.4067301536710422,4.5,14.0,5.5
1-saddle,1,0.4067531904479877,10.5,8.0,6.5
1-saddle,1,0.40670400408140783,9.5,9.0,6.5
1-saddle,1,0.4067040040222874,8.5,10.0,6.5
1-saddle,1,0.40675319028369505,7.5,11.0,6.5
1-saddle,1,0.4125165398591258,14.5,12.0,15.5
1-saddle,1,0.41248538949796765,13.5,13.0,15.5
1-saddle,1,0.4125054331195361,12.5,14.0,15.5
1-saddle,1,0.4101056658715272,21.5,21.0,21.5
1-saddle,1,0.4066976242681331,14.5,4.0,45.5
1-saddle,1,0.40668953971505883,13.5,5.0,45.5
1-saddle,1,0.40668979586469867,12.5,6.0,45.5
1-saddle,1,0.4066946793739114,11.5,7.0,45.5
1-saddle,1,0.4066979033429351,10.5,8.0,45.5
1-saddle,1,0.40669950046903747,9.5,9.0,45.5
1-saddle,1,0.4066995004414998,8.5,10.0,45.5
1-saddle,1,0.40669790326600075,7.5,11.0,45.5
1-saddle,1,0.4066946792601823,6.5,12.0,45.5
1-saddle,1,0.4066897957246765,5.5,13.0,45.5
1-saddle,1,0.4066976240853653,4.5,14.0,45.5
1-saddle,1,0.4066973779232318,17.5,1.0,46.5
1-saddle,1,0.406687709620836,16.5,2.0,46.5
1-saddle,1,0.40669956111868977,15.5,3.0,46.5
1-saddle,1,0.4066995608993218,2.5,16.0,46.5
1-saddle,1,0.4066973776555367,1.5,17.0,46.5
1-saddle,1,0.4066973776555367,67.5,17.0,46.5
1-saddle,1,0.4066973779232318,17.5,67.0,46.5
1-saddle,1,0.406687709620836,16.5,68.0,46.5
1-saddle,1,0.40669524254074174,18.5,0.0,47.5
1-saddle,1,0.4066952423310197,65.5,19.0,47.5
1-saddle,1,0.40669244815082384,19.5,65.0,47.5
1-saddle,1,0.40669524254074174,18.5,66.0,47.5
1-saddle,1,0.4066977111002513,63.5,21.0,48.5
1-saddle,1,0.4066924205039209,21.5,63.0,48.5
1-saddle,1,0.40669771128550836,20.5,64.0,48.5
1-saddle,1,0.4066968234271163,61.5,23.0,49.5
1-saddle,1,0.40669682362843707,23.5,61.0,49.5
1-saddle,1,0.40669541142127763,22.5,62.0,49.5
1-saddle,1,0.40670508199292654,59.5,25.0,50.5
1-saddle,1,0.40670508231528857,25.5,59.0,50.5
1-saddle,1,0.40668880855807776,24.5,60.0,50.5
1-saddle,1,0.4066853350104195,26.5,58.0,51.5
1-saddle,1,0.40669805779139,56.5,28.0,52.5
1-saddle,1,0.40669640607579316,28.5,56.0,52.5
1-saddle,1,0.40669805817458393,27.5,57.0,52.5
1-saddle,1,0.40668397729983435,29.5,55.0,53.5
1-saddle,1,0.40670721919426517,53.5,31.0,54.5
1-saddle,1,0.4066862057302583,31.5,53.0,54.5
1-saddle,1,0.40670721959317263,30.5,54.0,54.5
1-saddle,1,0.4066978438292512,51.5,33.0,55.5
1-saddle,1,0.4066978443293636,33.5,51.0,55.5
1-saddle,1,0.40669206778132894,32.5,52.0,55.5
1-saddle,1,0.40670628041433615,49.5,35.0,56.5
1-saddle,1,0.4067062808306686,35.5,49.0,56.5
1-saddle,1,0.4066768878872691,34.5,50.0,56.5
1-saddle,1,0.40670551257778015,47.5,37.0,57.5
1-saddle,1,0.40670551295366175,37.5,47.0,57.5
1-saddle,1,0.40667230414645666,36.5,48.0,57.5
1-saddle,1,0.4066878897465492,45.5,39.0,58.5
1-saddle,1,0.406706595505825,44.5,40.0,58.5
1-saddle,1,0.4067065957012337,40.5,44.0,58.5
1-saddle,1,0.40668789002659345,39.5,45.0,58.5
1-saddle,1,0.406675589279714,38.5,46.0,58.5
1-saddle,1,0.4067020053358187,42.5,42.0,59.5
1-saddle,1,0.40670200537907,41.5,43.0,59.5
1-saddle,1,0.41828082873536787,49.5,0.0,80.5
1-saddle,1,0.42057637749927834,8.5,50.0,83.5
1-saddle,1,0.40670089635058887,42.5,42.0,96.5
1-saddle,1,0.40669585614027626,46.5,38.0,97.5
1-saddle,1,0.4066897289366096,45.5,39.0,97.5
1-saddle,1,0.4066971132821419,44.5,40.0,97.5
1-saddle,1,0.4067019570785917,43.5,41.0,97.5
1-saddle,1,0.40670195710410684,40.5,44.0,97.5
1-saddle,1,0.4066971133635128,39.5,45.0,97.5
1-saddle,1,0.40669585639099365,38.5,46.0,97.5
1-saddle,1,0.40669587345424607,48.5,36.0,98.5
1-saddle,1,0.40669372228748907,47.5,37.0,98.5
1-saddle,1,0.40669587376556193,36.5,48.0,98.5
1-saddle,1,0.4066865678474018,49.5,35.0,99.5
1-saddle,1,0.40669457348497573,50.5,34.0,100.5
1-saddle,1,0.4066984928788108,52.5,32.0,101.5
1-saddle,1,0.4067013297281061,51.5,33.0,101.5
1-saddle,1,0.40670133007785025,32.5,52.0,101.5
1-saddle,1,0.4066958338853922,53.5,31.0,102.5
1-saddle,1,0.40669440528214695,54.5,30.0,103.5
1-saddle,1,0.4066939464977698,55.5,29.0,104.5
1-saddle,1,0.40669415604462184,56.5,28.0,105.5
1-saddle,1,0.40669455131853904,57.5,27.0,106.5
1-saddle,1,0.40669442506322895,58.5,26.0,107.5
1-saddle,1,0.4066928593833744,59.5,25.0,108.5
1-saddle,1,0.4066884547097079,60.5,24.0,109.5
1-saddle,1,0.4066793852049905,61.5,23.0,110.5
1-saddle,1,0.4066634970232974,62.5,22.0,111.5
1-saddle,1,0.406660379717454,63.5,21.0,112.5
1-saddle,1,0.40674381514862856,65.5,19.0,113.5
1-saddle,1,0.40669436254863744,64.5,20.0,113.5
1-saddle,1,0.4067438159003918,19.5,65.0,113.5
2-saddle,2,0.556522480076616,63.29289245605469,63.29289245605469,0.0
2-saddle,2,0.3588449264082181,1.7071067094802856,1.7071067094802856,1.9999998807907104
2-saddle,2,0.3588449264082181,67.70709991455078,1.7071067094802856,1.9999998807907104
2-saddle,2,0.4068587098210684,67.29289245605469,17.292892456054688,3.0
2-saddle,2,0.3927516911456004,32.29289245605469,32.29289245605469,55.999996185302734
2-saddle,2,0.4039025495802714,34.29289245605469,34.29289245605469,56.999996185302734
2-saddle,2,0.39732372324023263,35.70710754394531,35.70710754394531,58.0
2-saddle,2,0.39691630809870543,67.70709991455078,0.7071067094802856,112.99999237060547
2-saddle,2,0.48030952036809715,4.292892932891846,4.292892932891846,113.99999237060547
2-saddle,2,0.4069227099664661,64.70709991455078,19.70710563659668,113.99999237060547
2-saddle,2,0.4068587104682818,17.70710563659668,67.0,2.707106590270996
2-saddle,2,0.4068587104682818,17.292892456054688,0.9999998807907104,3.2928929328918457
2-saddle,2,0.40691333497079946,14.70710563659668,3.999999523162842,4.707106590270996
2-saddle,2,0.8221217285506064,64.29288482666016,68.0,5.292893409729004
2-saddle,2,0.40684536266764965,11.292892456054688,6.999999523162842,6.292892932891846
2-saddle,2,0.4068799547901978,10.292892456054688,7.999999046325684,6.292892932891846
2-saddle,2,0.40689874136402404,9.292892456054688,9.0,6.292892932891846
2-saddle,2,0.41253386813171306,13.292892456054688,12.999999046325684,15.292892456054688
2-saddle,2,0.4125208336918962,13.70710563659668,12.999999046325684,15.70710563659668
2-saddle,2,0.4125208336918962,12.70710563659668,13.999999046325684,15.70710563659668
2-saddle,2,0.41630758571412957,44.29289245605469,20.999998092651367,30.292890548706055
2-saddle,2,0.40670897907392395,9.292892456054688,9.0,45.29288864135742
2-saddle,2,0.4067098584763795,8.292892456054688,10.0,45.29288864135742
2-saddle,2,0.4067125081892091,7.292892932891846,10.999999046325684,45.29288864135742
2-saddle,2,0.40671695225639065,6.292893409729004,12.0,45.29288864135742
2-saddle,2,0.40671781937672724,4.707106590270996,13.999999046325684,45.70710372924805
2-saddle,2,0.4067095711111394,3.707106590270996,14.999998092651367,45.70710372924805
2-saddle,2,0.40671948627982446,2.292893171310425,15.999998092651367,46.29288864135742
2-saddle,2,0.40671308730704936,66.29289245605469,18.0,47.29289245605469
2-saddle,2,0.4067168575790269,64.70709991455078,20.0,47.70710754394531
2-saddle,2,0.4067182628423722,62.70710372924805,21.999998092651367,48.70710754394531
2-saddle,2,0.4067235726309137,60.29289245605469,24.0,50.29288864135742
2-saddle,2,0.4067299518126497,57.70710372924805,26.999996185302734,51.70710372924805
2-saddle,2,0.4067309501791519,55.292884826660156,29.0,53.29289245605469
2-saddle,2,0.40673340895282595,52.70710372924805,31.999996185302734,54.70709991455078
2-saddle,2,0.4067365186663583,50.29289245605469,34.0,56.29288864135742
2-saddle,2,0.4067430540804312,48.29289245605469,36.0,57.29289245605469
2-saddle,2,0.40673583314787926,46.29289245605469,38.0,58.29289245605469
2-saddle,2,0.4067325574987876,44.70709991455078,40.0,58.70710754394531
2-saddle,2,0.40671840160492573,43.29289245605469,41.0,59.29289245605469
2-saddle,2,0.4264526922048529,33.29289245605469,0.0,75.29289245605469
2-saddle,2,0.420583112023576,8.292892456054688,49.999996185302734,83.29288482666016
2-saddle,2,0.4205917302774179,8.707106590270996,49.999996185302734,83.70709991455078
2-saddle,2,0.4067043521533982,41.70710372924805,43.0,96.70710754394531
2-saddle,2,0.4067058137143523,40.29289245605469,43.999996185302734,97.29289245605469
2-saddle,2,0.40671203583295357,39.29289245605469,44.999996185302734,97.29289245605469
2-saddle,2,0.4067229946892593,48.29289245605469,36.0,98.29289245605469
2-saddle,2,0.4067079192769127,37.29289245605469,46.999996185302734,98.29289245605469
2-saddle,2,0.775280313230729,2.707106590270996,0.0,108.70709991455078
2-saddle,2,0.8221217285506064,68.0,64.70709991455078,5.292893409729004
2-saddle,2,0.4582312057932774,54.99999237060547,55.29288864135742,18.70710563659668
2-saddle,2,0.40672747838705997,41.999996185302734,42.29289245605469,21.707103729248047
2-saddle,2,0.4067268257918289,41.0,43.29289245605469,21.707103729248047
2-saddle,2,0.40672480098220926,40.0,44.29288864135742,21.707103729248047
2-saddle,2,0.4067212659474107,38.999996185302734,45.29288864135742,21.707103729248047
2-saddle,2,0.406716115894871,38.0,46.29288864135742,21.707103729248047
2-saddle,2,0.4067092990313374,36.999996185302734,47.29289245605469,21.707103729248047
2-saddle,2,0.40670077650315817,36.0,48.29289245605469,21.707103729248047
2-saddle,2,0.4066515832110838,9.0,9.707106590270996,22.292892456054688
2-saddle,2,0.4066563772277968,7.999999046325684,10.70710563659668,22.292892456054688
2-saddle,2,0.40666565543518834,6.999999523162842,11.70710563659668,22.292892456054688
2-saddle,2,0.4066787862537934,6.0,12.70710563659668,22.292892456054688
2-saddle,2,0.40668216037515964,3.999999523162842,14.292892456054688,22.70710563659668
2-saddle,2,0.4066905481587982,34.999996185302734,49.70710372924805,22.292892456054688
2-saddle,2,0.4066980257754077,34.0,50.70710372924805,22.292892456054688
2-saddle,2,0.4067139762310098,33.0,51.70710372924805,22.292892456054688
2-saddle,2,0.40673020562983203,31.999996185302734,52.70710372924805,22.292892456054688
2-saddle,2,0.406723579740304,29.999996185302734,54.292884826660156,22.70710563659668
2-saddle,2,0.4067044862248992,29.0,55.29288864135742,22.70710563659668
2-saddle,2,0.4066709544675409,3.0,15.70710563659668,23.292892456054688
2-saddle,2,0.4066773287727729,1.999999761581421,16.70710563659668,23.292892456054688
2-saddle,2,0.4066773287727729,68.0,16.70710563659668,23.292892456054688
2-saddle,2,0.40669318473350685,0.9999998807907104,17.70710563659668,23.292892456054688
2-saddle,2,0.40669318473350685,67.0,17.70710563659668,23.292892456054688
2-saddle,2,0.4067019317112491,64.99999237060547,19.292892456054688,23.707107543945312
2-saddle,2,0.40669864066065653,63.99999237060547,20.292892456054688,23.707107543945312
2-saddle,2,0.40669802975273633,63.0,21.292892456054688,23.707107543945312
2-saddle,2,0.4067003325306331,61.999996185302734,22.292892456054688,23.707107543945312
2-saddle,2,0.40670035639724966,27.999998092651367,56.70710372924805,23.292892456054688
2-saddle,2,0.40671333247273095,26.999996185302734,57.70710754394531,23.292892456054688
2-saddle,2,0.40672370186200524,25.999998092651367,58.70710754394531,23.292892456054688
2-saddle,2,0.4067140544492388,24.0,60.29288864135742,23.707107543945312
2-saddle,2,0.4067056576419519,22.999998092651367,61.29288864135742,23.707107543945312
2-saddle,2,0.4067073343565554,19.0,65.70710754394531,23.292892456054688
2-saddle,2,0.4264526922048529,0.0,33.70710754394531,75.29289245605469
2-saddle,2,0.4066731027356064,40.0,44.70710372924805,75.29289245605469
2-saddle,2,0.40667852327356285,36.999996185302734,47.70710754394531,77.29289245605469
2-saddle,2,0.40668186996179334,33.0,51.70710372924805,80.29289245605469
2-saddle,2,0.40668164102249854,30.999998092651367,53.70709991455078,81.29289245605469
2-saddle,2,0.4066889126604867,29.0,55.29288864135742,81.70710754394531
2-saddle,2,0.4067254209180563,7.999999046325684,10.292892456054688,82.70709991455078
2-saddle,2,0.4067229401117445,6.999999523162842,11.292892456054688,82.70709991455078
2-saddle,2,0.40671914050108554,6.0,12.292892456054688,82.70709991455078
2-saddle,2,0.4067144523236781,5.0,13.292892456054688,82.70709991455078
2-saddle,2,0.40670935477259174,3.999999523162842,14.292892456054688,82.70709991455078
2-saddle,2,0.4067043025588042,3.0,15.292892456054688,82.70709991455078
2-saddle,2,0.40669968836255616,1.999999761581421,16.292892456054688,82.70709991455078
2-saddle,2,0.40669583831857065,0.9999998807907104,17.292892456054688,82.70709991455078
2-saddle,2,0.40669583831857065,67.0,17.292892456054688,82.70709991455078
2-saddle,2,0.4066930040598404,0.0,18.292892456054688,82.70709991455078
2-saddle,2,0.4066930040598404,66.0,18.292892456054688,82.70709991455078
2-saddle,2,0.4066913306584717,64.99999237060547,19.292892456054688,82.70709991455078
2-saddle,2,0.4066908343559425,63.99999237060547,20.292892456054688,82.70709991455078
2-saddle,2,0.4066914349712249,63.0,21.292892456054688,82.70709991455078
2-saddle,2,0.4066930290942415,61.999996185302734,22.292892456054688,82.70709991455078
2-saddle,2,0.4066955429501323,60.999996185302734,23.292892456054688,82.70709991455078
2-saddle,2,0.40667851440176067,27.999998092651367,56.70710372924805,82.29289245605469
2-saddle,2,0.40668655816284893,26.999996185302734,57.70710754394531,82.29289245605469
2-saddle,2,0.40669402884042843,25.999998092651367,58.70710754394531,82.29289245605469
2-saddle,2,0.4066989306763599,24.0,60.29288864135742,82.70709991455078
2-saddle,2,0.3713655592369369,18.0,31.292892456054688,103.70709991455078
2-saddle,2,0.775280313230729,0.0,2.707106590270996,108.29288482666016
2-saddle,2,0.40685798279131746,64.24118041992188,20.341079711914062,0.7588189840316772
2-saddle,2,0.406909883550994,66.24117279052734,18.341079711914062,1.7588188648223877
2-saddle,2,0.4069227099664661,65.24118041992188,19.341079711914062,1.7588188648223877
2-saddle,2,0.4069459478749336,2.241180896759033,16.341079711914062,3.7588186264038086
2-saddle,2,0.4068587098210684,0.7588191032409668,17.658920288085938,3.2411811351776123
2-saddle,2,0.4069467210858501,2.758819341659546,15.658919334411621,4.241181373596191
2-saddle,2,0.4069522944893891,12.758820533752441,5.658918857574463,5.241181373596191
2-saddle,2,0.40696948268508176,6.241180419921875,12.341080665588379,5.758818626403809
2-saddle,2,0.4069522941110182,4.758819103240967,13.658919334411621,5.241181373596191
2-saddle,2,0.4069133344928572,3.758819341659546,14.658919334411621,5.241181373596191
2-saddle,2,0.40687995467071225,7.758819580078125,10.658918380737305,6.241181373596191
2-saddle,2,0.4068453624087643,6.758819103240967,11.658919334411621,6.241181373596191
2-saddle,2,0.4125208336918962,14.241179466247559,12.341080665588379,15.758817672729492
